kota,kecamatan,kelurahan,luas_daerah,kepadatan,jumlah_penduduk,panjang_jalan,tahun,macet
JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,2.5,16888.74,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,3.53,8036.64,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,5.05,8837.22,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,2.68,24633.54,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,2.9,14422.51,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,2.26,21746.9,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,1.78,27007.07,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,6.84,9123.1,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,1.93,22983.96,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,3.33,14721.2,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,0.29,174115.18,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,2.57,17579.12,2226812.0,2000.0,2020,0
JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,6.05,9592.13,2226812.0,2000.0,2020,0
JAKARTA SELATAN,CILANDAK,LEBAK BULUS,4.11,9833.01,2226812.0,2000.0,2020,0
JAKARTA SELATAN,CILANDAK,PONDOK LABU,3.91,12845.82,2226812.0,2000.0,2020,0
JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,1.77,14027.68,2226812.0,2000.0,2020,0
JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,2.32,13178.75,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,1.25,2522.99,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,1.32,8057.45,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,1.25,13097.16,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,SELONG,1.4,2609.29,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,0.69,9276.43,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,1.53,2602.87,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,PULO,1.27,5387.22,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,0.86,15763.36,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,1.52,30032.88,2226812.0,2000.0,2020,0
JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1.83,21209.86,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PANCORAN,PANCORAN,1.22,17852.22,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PANCORAN,KALIBATA,2.29,20848.21,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PANCORAN,RAWA JATI,1.44,14769.44,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PANCORAN,DUREN TIGA,1.92,16773.91,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PANCORAN,PENGADEGAN,0.94,25023.33,2226812.0,2000.0,2020,0
JAKARTA SELATAN,PANCORAN,CIKOKO,0.72,17864.42,2226812.0,2000.0,2020,0
JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,4.85,13677.94,2226812.0,2000.0,2020,0
JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,6.75,9371.42,2226812.0,2000.0,2020,0
JAKARTA SELATAN,JAGAKARSA,CIGANJUR,3.38,11751.78,2226812.0,2000.0,2020,0
JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,2.28,25814.09,2226812.0,2000.0,2020,0
JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,3.65,11929.3,2226812.0,2000.0,2020,0
JAKARTA SELATAN,JAGAKARSA,CIPEDAK,3.97,9897.75,2226812.0,2000.0,2020,0
