Kabupaten/Kota,Panjang Jalan Negara (km) (Km),Panjang Jalan Provinsi (km) (Km),Panjang Jalan Kabupaten/Kota (km) (Km),Jumlah Panjang Jalan(km) (Km)
Kepulauan Seribu,,,,
Kota Jakarta Selatan,,2000,,2000
Kota Jakarta Timur,,1518,,1518
Kota Jakarta Pusat,,692,,692
Kota Jakarta Barat,,1182,,1182
Kota Jakarta Utara,,1101,,1101
DKI Jakarta,,6492,,6492
